,MovieTitle,chg_ON,chg_ON_abs
2009-02-06,隠し剣鬼の爪,0.012757065874848747,0.012757065874848747
2009-02-13,ホーム・アローン2,0.0032898344116679148,0.0032898344116679148
2009-02-27,マスク,-0.0067436395218147625,0.0067436395218147625
2009-03-06,幸せのちから,0.006162695152013089,0.006162695152013089
2009-03-13,佐賀のがばいばあちゃん,0.0012246147566078636,0.0012246147566078636
2009-03-20,ドクター・ドリトル,,
2009-03-27,ルパン三世ＶＳ名探偵コナン,0.0018386108273747968,0.0018386108273747968
2009-04-03,トリプルX,0.007816414470387683,0.007816414470387683
2009-04-10,宇宙戦争,-0.0004976609933313144,0.0004976609933313144
2009-04-17,名探偵コナン戦慄の楽譜（フルスコア）,-0.0008048289738431841,0.0008048289738431841
2009-04-24,マスク2,-0.0035022661722291246,0.0035022661722291246
2009-05-01,釣りバカ日誌12,-0.006245592827641688,0.006245592827641688
2009-05-08,東京タワー〜オカンとボクと、時々、オトン〜,-0.0064392796055941295,0.0064392796055941295
2009-05-15,サラマンダー,-0.002833455766607306,0.002833455766607306
2009-05-22,ナショナル・トレジャー,0.0032887757267132194,0.0032887757267132194
2009-05-29,ダイ・ハード2,-0.010160705028512223,0.010160705028512223
2009-06-05,千と千尋の神隠し,0.020161290322580676,0.020161290322580676
2009-06-12,ボーン・アイデンティティー,0.0040799673602610305,0.0040799673602610305
2009-06-19,ルパン三世ルパンVS複製人間,-0.007538985851492347,0.007538985851492347
2009-06-26,たそがれ清兵衛,-0.007922443448347806,0.007922443448347806
2009-07-03,ヱヴァンゲリヲン新劇場版：序TV版,-0.0005212133847598391,0.0005212133847598391
2009-07-10,釣りバカ日誌2,-0.0030188679245283143,0.0030188679245283143
2009-07-17,ハリー・ポッターと不死鳥の騎士団,0.004695336676982307,0.004695336676982307
2009-07-24,X-メン,-0.0011598481653310778,0.0011598481653310778
2009-07-31,魔女の宅急便,-0.010145382282188043,0.010145382282188043
2009-08-07,ナイトミュージアム,0.020756892756054135,0.020756892756054135
2009-08-14,火垂るの墓,-0.00504148723873532,0.00504148723873532
2009-08-21,20世紀少年第1章終わりの始まり,0.007133730834752999,0.007133730834752999
2009-08-28,20世紀少年〜もう一つの第2章〜,-0.00585542425210275,0.00585542425210275
2009-09-11,ワールド・トレード・センター,-0.0058280184737189485,0.0058280184737189485
2009-09-18,アイ、ロボット,0.0007671232876711581,0.0007671232876711581
2009-10-02,キング・コング,0.003580619894819214,0.003580619894819214
2009-10-16,エイリアンVS.プレデター,-0.0028518152901174194,0.0028518152901174194
2009-10-23,ゴーストシップ,0.0033761707688956906,0.0033761707688956906
2009-10-30,隠し砦の三悪人THELASTPRINCESS,-0.0152562836132148,0.0152562836132148
2009-11-06,ダイ・ハード,-0.006411673667919504,0.006411673667919504
2009-11-13,舞妓Haaaan!!!,-0.007199025362720187,0.007199025362720187
2009-11-20,天空の城ラピュタ,0.0014641288433381624,0.0014641288433381624
